"","boro","block","lot","bin","lhnd","lhns","lcontpar","lsos","hhnd","hhns","hcontpar","hsos","scboro","sc5","sclgc","stname","addrtype","realb7sc","validlgcs","dapsflag","naubflag","parity","b10sc","segid","zipcode","physical_id","bbl","lnumber","rnumber","difference","interpolatedCount","finalCount","houseNums"
"147",1,"00001","0010",1086321,"606","000606000AA",NA,"R","608","000608000AA",NA,"R",1,"16147","01","CRAIG ROAD SOUTH",NA,NA,"01",NA,NA,2,11614701010,"0018008",10004,"0026828","1000010010",606,608,2,0,2,"606"
"148",1,"00001","0010",1086321,"606","000606000AA",NA,"R","608","000608000AA",NA,"R",1,"16147","01","CRAIG ROAD SOUTH",NA,NA,"01",NA,NA,2,11614701010,"0018008",10004,"0026828","1000010010",606,608,2,0,2,"608"
"424",1,"00001","0010",1000000,"500","000500000AA","R","R","508","000508000AA","R","R",1,"45603","01","GOVERNORS ISLAND",NA,NA,"01",NA,NA,2,14560301010,"0018058",10004,"0074324","1000010010",500,508,8,3,5,"500"
"425",1,"00001","0010",1000000,"500","000500000AA","R","R","508","000508000AA","R","R",1,"45603","01","GOVERNORS ISLAND",NA,NA,"01",NA,NA,2,14560301010,"0018058",10004,"0074324","1000010010",500,508,8,3,5,"502"
"426",1,"00001","0010",1000000,"500","000500000AA","R","R","508","000508000AA","R","R",1,"45603","01","GOVERNORS ISLAND",NA,NA,"01",NA,NA,2,14560301010,"0018058",10004,"0074324","1000010010",500,508,8,3,5,"504"
"427",1,"00001","0010",1000000,"500","000500000AA","R","R","508","000508000AA","R","R",1,"45603","01","GOVERNORS ISLAND",NA,NA,"01",NA,NA,2,14560301010,"0018058",10004,"0074324","1000010010",500,508,8,3,5,"506"
"428",1,"00001","0010",1000000,"500","000500000AA","R","R","508","000508000AA","R","R",1,"45603","01","GOVERNORS ISLAND",NA,NA,"01",NA,NA,2,14560301010,"0018058",10004,"0074324","1000010010",500,508,8,3,5,"508"
"431",1,"00001","0010",1086321,"606","000606000AA",NA,"L","608","000608000AA",NA,"R",1,"45603","01","GOVERNORS ISLAND",NA,NA,"01",NA,NA,2,14560301010,"0018009",10004,"0025016","1000010010",606,608,2,0,2,"606"
"432",1,"00001","0010",1086321,"606","000606000AA",NA,"L","608","000608000AA",NA,"R",1,"45603","01","GOVERNORS ISLAND",NA,NA,"01",NA,NA,2,14560301010,"0018009",10004,"0025016","1000010010",606,608,2,0,2,"608"
"470",1,"00001","0010",1000000,"940","000940000AA","L","L","948","000948000AA","L","L",1,"45603","01","GOVERNORS ISLAND",NA,NA,"01",NA,NA,2,14560301010,"0105755",10004,"0175167","1000010010",940,948,8,3,5,"940"
"471",1,"00001","0010",1000000,"940","000940000AA","L","L","948","000948000AA","L","L",1,"45603","01","GOVERNORS ISLAND",NA,NA,"01",NA,NA,2,14560301010,"0105755",10004,"0175167","1000010010",940,948,8,3,5,"942"
"472",1,"00001","0010",1000000,"940","000940000AA","L","L","948","000948000AA","L","L",1,"45603","01","GOVERNORS ISLAND",NA,NA,"01",NA,NA,2,14560301010,"0105755",10004,"0175167","1000010010",940,948,8,3,5,"944"
"473",1,"00001","0010",1000000,"940","000940000AA","L","L","948","000948000AA","L","L",1,"45603","01","GOVERNORS ISLAND",NA,NA,"01",NA,NA,2,14560301010,"0105755",10004,"0175167","1000010010",940,948,8,3,5,"946"
"474",1,"00001","0010",1000000,"940","000940000AA","L","L","948","000948000AA","L","L",1,"45603","01","GOVERNORS ISLAND",NA,NA,"01",NA,NA,2,14560301010,"0105755",10004,"0175167","1000010010",940,948,8,3,5,"948"
"475",1,"00001","0010",1000000,"950","000950000AA",NA,"R","960","000960000AA",NA,"R",1,"45603","01","GOVERNORS ISLAND",NA,NA,"01",NA,NA,2,14560301010,"0105756",10004,"0175167","1000010010",950,960,10,4,6,"950"
"476",1,"00001","0010",1000000,"950","000950000AA",NA,"R","960","000960000AA",NA,"R",1,"45603","01","GOVERNORS ISLAND",NA,NA,"01",NA,NA,2,14560301010,"0105756",10004,"0175167","1000010010",950,960,10,4,6,"952"
"477",1,"00001","0010",1000000,"950","000950000AA",NA,"R","960","000960000AA",NA,"R",1,"45603","01","GOVERNORS ISLAND",NA,NA,"01",NA,NA,2,14560301010,"0105756",10004,"0175167","1000010010",950,960,10,4,6,"954"
"478",1,"00001","0010",1000000,"950","000950000AA",NA,"R","960","000960000AA",NA,"R",1,"45603","01","GOVERNORS ISLAND",NA,NA,"01",NA,NA,2,14560301010,"0105756",10004,"0175167","1000010010",950,960,10,4,6,"956"
"479",1,"00001","0010",1000000,"950","000950000AA",NA,"R","960","000960000AA",NA,"R",1,"45603","01","GOVERNORS ISLAND",NA,NA,"01",NA,NA,2,14560301010,"0105756",10004,"0175167","1000010010",950,960,10,4,6,"958"
"480",1,"00001","0010",1000000,"950","000950000AA",NA,"R","960","000960000AA",NA,"R",1,"45603","01","GOVERNORS ISLAND",NA,NA,"01",NA,NA,2,14560301010,"0105756",10004,"0175167","1000010010",950,960,10,4,6,"960"
"542",1,"00004","1001",1000005,"114","000114000AA",NA,"R","142","000142000AA",NA,"R",1,"13590","01","BROAD STREET",NA,NA,"01",NA,NA,2,11359001010,"0023017",10004,"0000048","1000041001",114,142,28,13,15,"114"
"543",1,"00004","1001",1000005,"114","000114000AA",NA,"R","142","000142000AA",NA,"R",1,"13590","01","BROAD STREET",NA,NA,"01",NA,NA,2,11359001010,"0023017",10004,"0000048","1000041001",114,142,28,13,15,"116"
"544",1,"00004","1001",1000005,"114","000114000AA",NA,"R","142","000142000AA",NA,"R",1,"13590","01","BROAD STREET",NA,NA,"01",NA,NA,2,11359001010,"0023017",10004,"0000048","1000041001",114,142,28,13,15,"118"
"545",1,"00004","1001",1000005,"114","000114000AA",NA,"R","142","000142000AA",NA,"R",1,"13590","01","BROAD STREET",NA,NA,"01",NA,NA,2,11359001010,"0023017",10004,"0000048","1000041001",114,142,28,13,15,"120"
"546",1,"00004","1001",1000005,"114","000114000AA",NA,"R","142","000142000AA",NA,"R",1,"13590","01","BROAD STREET",NA,NA,"01",NA,NA,2,11359001010,"0023017",10004,"0000048","1000041001",114,142,28,13,15,"122"
"547",1,"00004","1001",1000005,"114","000114000AA",NA,"R","142","000142000AA",NA,"R",1,"13590","01","BROAD STREET",NA,NA,"01",NA,NA,2,11359001010,"0023017",10004,"0000048","1000041001",114,142,28,13,15,"124"
"548",1,"00004","1001",1000005,"114","000114000AA",NA,"R","142","000142000AA",NA,"R",1,"13590","01","BROAD STREET",NA,NA,"01",NA,NA,2,11359001010,"0023017",10004,"0000048","1000041001",114,142,28,13,15,"126"
"549",1,"00004","1001",1000005,"114","000114000AA",NA,"R","142","000142000AA",NA,"R",1,"13590","01","BROAD STREET",NA,NA,"01",NA,NA,2,11359001010,"0023017",10004,"0000048","1000041001",114,142,28,13,15,"128"
"550",1,"00004","1001",1000005,"114","000114000AA",NA,"R","142","000142000AA",NA,"R",1,"13590","01","BROAD STREET",NA,NA,"01",NA,NA,2,11359001010,"0023017",10004,"0000048","1000041001",114,142,28,13,15,"130"
"551",1,"00004","1001",1000005,"114","000114000AA",NA,"R","142","000142000AA",NA,"R",1,"13590","01","BROAD STREET",NA,NA,"01",NA,NA,2,11359001010,"0023017",10004,"0000048","1000041001",114,142,28,13,15,"132"
"552",1,"00004","1001",1000005,"114","000114000AA",NA,"R","142","000142000AA",NA,"R",1,"13590","01","BROAD STREET",NA,NA,"01",NA,NA,2,11359001010,"0023017",10004,"0000048","1000041001",114,142,28,13,15,"134"
"553",1,"00004","1001",1000005,"114","000114000AA",NA,"R","142","000142000AA",NA,"R",1,"13590","01","BROAD STREET",NA,NA,"01",NA,NA,2,11359001010,"0023017",10004,"0000048","1000041001",114,142,28,13,15,"136"
"554",1,"00004","1001",1000005,"114","000114000AA",NA,"R","142","000142000AA",NA,"R",1,"13590","01","BROAD STREET",NA,NA,"01",NA,NA,2,11359001010,"0023017",10004,"0000048","1000041001",114,142,28,13,15,"138"
"555",1,"00004","1001",1000005,"114","000114000AA",NA,"R","142","000142000AA",NA,"R",1,"13590","01","BROAD STREET",NA,NA,"01",NA,NA,2,11359001010,"0023017",10004,"0000048","1000041001",114,142,28,13,15,"140"
"556",1,"00004","1001",1000005,"114","000114000AA",NA,"R","142","000142000AA",NA,"R",1,"13590","01","BROAD STREET",NA,NA,"01",NA,NA,2,11359001010,"0023017",10004,"0000048","1000041001",114,142,28,13,15,"142"
"558",1,"00004","1001",1000005,"1","000001000AA",NA,"R","21","000021000AA",NA,"R",1,"33490","01","WATER STREET",NA,NA,"01",NA,NA,1,13349001010,"0023010",10004,"0000116","1000041001",1,21,20,9,11,"1"
"559",1,"00004","1001",1000005,"1","000001000AA",NA,"R","21","000021000AA",NA,"R",1,"33490","01","WATER STREET",NA,NA,"01",NA,NA,1,13349001010,"0023010",10004,"0000116","1000041001",1,21,20,9,11,"3"
"560",1,"00004","1001",1000005,"1","000001000AA",NA,"R","21","000021000AA",NA,"R",1,"33490","01","WATER STREET",NA,NA,"01",NA,NA,1,13349001010,"0023010",10004,"0000116","1000041001",1,21,20,9,11,"5"
"561",1,"00004","1001",1000005,"1","000001000AA",NA,"R","21","000021000AA",NA,"R",1,"33490","01","WATER STREET",NA,NA,"01",NA,NA,1,13349001010,"0023010",10004,"0000116","1000041001",1,21,20,9,11,"7"
"562",1,"00004","1001",1000005,"1","000001000AA",NA,"R","21","000021000AA",NA,"R",1,"33490","01","WATER STREET",NA,NA,"01",NA,NA,1,13349001010,"0023010",10004,"0000116","1000041001",1,21,20,9,11,"9"
"563",1,"00004","1001",1000005,"1","000001000AA",NA,"R","21","000021000AA",NA,"R",1,"33490","01","WATER STREET",NA,NA,"01",NA,NA,1,13349001010,"0023010",10004,"0000116","1000041001",1,21,20,9,11,"11"
"564",1,"00004","1001",1000005,"1","000001000AA",NA,"R","21","000021000AA",NA,"R",1,"33490","01","WATER STREET",NA,NA,"01",NA,NA,1,13349001010,"0023010",10004,"0000116","1000041001",1,21,20,9,11,"13"
"565",1,"00004","1001",1000005,"1","000001000AA",NA,"R","21","000021000AA",NA,"R",1,"33490","01","WATER STREET",NA,NA,"01",NA,NA,1,13349001010,"0023010",10004,"0000116","1000041001",1,21,20,9,11,"15"
"566",1,"00004","1001",1000005,"1","000001000AA",NA,"R","21","000021000AA",NA,"R",1,"33490","01","WATER STREET",NA,NA,"01",NA,NA,1,13349001010,"0023010",10004,"0000116","1000041001",1,21,20,9,11,"17"
"567",1,"00004","1001",1000005,"1","000001000AA",NA,"R","21","000021000AA",NA,"R",1,"33490","01","WATER STREET",NA,NA,"01",NA,NA,1,13349001010,"0023010",10004,"0000116","1000041001",1,21,20,9,11,"19"
"568",1,"00004","1001",1000005,"1","000001000AA",NA,"R","21","000021000AA",NA,"R",1,"33490","01","WATER STREET",NA,NA,"01",NA,NA,1,13349001010,"0023010",10004,"0000116","1000041001",1,21,20,9,11,"21"
"569",1,"00004","1001",1000005,"49","000049000AA",NA,"L","63","000063000AA",NA,"L",1,"45340","01","WHITEHALL STREET",NA,NA,"01",NA,NA,1,14534001010,"0023006",10004,"0000128","1000041001",49,63,14,6,8,"49"
"570",1,"00004","1001",1000005,"49","000049000AA",NA,"L","63","000063000AA",NA,"L",1,"45340","01","WHITEHALL STREET",NA,NA,"01",NA,NA,1,14534001010,"0023006",10004,"0000128","1000041001",49,63,14,6,8,"51"
"571",1,"00004","1001",1000005,"49","000049000AA",NA,"L","63","000063000AA",NA,"L",1,"45340","01","WHITEHALL STREET",NA,NA,"01",NA,NA,1,14534001010,"0023006",10004,"0000128","1000041001",49,63,14,6,8,"53"
"572",1,"00004","1001",1000005,"49","000049000AA",NA,"L","63","000063000AA",NA,"L",1,"45340","01","WHITEHALL STREET",NA,NA,"01",NA,NA,1,14534001010,"0023006",10004,"0000128","1000041001",49,63,14,6,8,"55"
